,0,1,2,3,4,5
7,玲珑轮胎,2,-1129.1399999999994,55.14,2,54866.0
173,证券ETF,2,402.21000000000276,16.39,2,56969.6
1,500ETF,2,-5.8400000000037835,23.64,2,93204.8
176,驰宏锌锗,2,-473.00999999999476,53.010000000000005,1,73920.0
38,云南锗业,2,-1512.5,80.5,3,72682.0
126,50ETF,3,115.0,10.0,1,28335.0
22,桐昆股份,3,562.8600000000006,22.14,1,22797.0
116,中国卫通,3,-2328.0099999999948,85.01,3,75825.0
30,白银基金,3,31.700000000000728,10.0,1,26340.5
142,万达电影,3,-83.13999999999942,81.14,5,41547.0
70,四维图新,3,-413.7000000000007,28.7,2,21533.0
146,恒生ETF,3,-25.399999999999977,10.0,1,1747.2000000000003
147,万达电影,3,501.9800000000032,64.02,3,40438.0
152,欢瑞世纪,3,-1358.130000000001,32.129999999999995,1,45594.0
153,罗莱生活,3,54.0199999999968,66.98,2,80378.0
162,广晟有色,3,380.8199999999997,60.18,2,67647.1
3,成都银行,3,-56.72999999999956,31.729999999999997,1,41825.0
174,洛阳钼业,3,118.20999999999913,41.79,1,57920.0
133,世嘉科技,3,1174.5600000000013,44.44,1,62622.700000000004
112,环旭电子,3,7203.170000000002,65.83,2,63435.0
127,天味食品,3,470.6899999999987,24.31,1,27033.0
42,华夏幸福,3,-568.6500000000015,74.65,1,104006.0
49,中信建投,3,1352.119999999999,33.879999999999995,1,44586.0
48,华泰证券,3,-167.0899999999965,54.09,2,52569.0
39,天齐锂业,3,-306.09000000000015,67.09,3,47251.0
83,陕国投Ａ,3,-478.4300000000003,27.43,1,35301.0
78,江淮汽车,4,-1395.9799999999996,49.980000000000004,3,43065.0
91,中曼石油,4,79.66999999999825,75.33000000000001,3,59109.0
55,300ETF,4,98.0,10.0,1,14238.0
40,郑煤机,4,1381.5499999999956,63.449999999999996,2,63603.0
61,京东方Ａ,4,-555.7799999999952,53.78,2,55413.0
69,中曼石油,4,687.5,23.5,1,25281.0
60,TCL 集团,4,-679.5900000000001,30.59,1,41831.0
134,千方科技,4,-3495.2999999999956,125.29999999999998,4,88664.0
132,半导体50,4,-3631.1500000000087,35.35,5,63470.600000000006
64,天齐锂业,4,-452.5400000000009,100.53999999999999,4,69927.0
166,顺丰控股,4,-1060.550000000003,83.55,4,43250.1
150,环旭电子,4,943.3400000000038,88.66,5,50725.0
4,中国铁建,4,69.6299999999992,20.37,1,19850.0
29,赛轮轮胎,4,442.0100000000002,21.99,1,22620.0
108,计算机,4,260.6200000000026,13.280000000000001,1,66408.3
45,海思科,4,45.69000000000233,49.31,1,70357.0
79,众泰汽车,5,1046.6600000000008,30.339999999999996,2,23655.0
168,鲁商发展,5,-854.5300000000007,95.53,6,39941.0
154,万达电影,5,-5532.220000000001,77.22,3,82768.8
53,300ETF,5,-536.1600000000108,29.86,3,82787.4
165,云铝股份,5,1114.4999999999964,75.5,3,63760.0
36,兴业矿业,5,-1070.9199999999983,99.92,4,89297.0
37,白银基金,5,-737.3799999999974,28.18,4,63858.8
72,平安银行,6,121.81999999999971,45.18,2,49155.0
24,桐昆股份,6,-64.40999999999804,44.41,3,23499.0
56,宁波银行,6,457.84999999999854,49.15,1,69849.0
172,盛达资源,6,876.5700000000033,41.43,1,58536.0
33,华鲁恒升,6,-429.2400000000016,53.239999999999995,3,39039.0
44,赛轮轮胎,6,-269.2599999999984,74.26,3,61469.0
109,用友网络,6,3055.970000000001,63.03,3,50254.799999999996
160,千方科技,6,2336.2499999999964,125.75,7,51927.0
171,顺丰控股,6,-267.15000000000146,39.150000000000006,1,56088.0
5,50ETF,7,147.27999999999884,37.019999999999996,3,131057.9
110,东华软件,7,1393.3599999999933,64.64,2,73270.0
19,500ETF,7,936.1299999999974,50.87,5,124595.9
128,圣农发展,8,-1595.5099999999984,144.51,7,75236.1
41,盛达资源,8,-2980.790000000001,209.79,12,90132.0
57,证券ETF,8,-332.6399999999994,48.34,6,93459.79999999999
23,华友钴业,8,-159.9100000000035,37.91,2,32096.0
46,郑州银行,8,-223.25,28.25,1,36699.0
135,美年健康,8,90.70999999999913,54.290000000000006,1,77459.0
111,完美世界,9,-3709.849999999995,68.85,4,50820.0
9,云南铜业,10,21.43000000000029,154.57,9,51607.0
149,5GETF,10,-4496.460000000014,111.75999999999999,17,96341.1
92,玲珑轮胎,11,-1294.260000000002,79.25999999999999,2,85364.0
96,中国人寿,11,-3017.2800000000025,38.28,1,55233.0
84,均胜电子,12,4285.389999999999,55.61,2,52169.0
80,奥佳华,12,874.7099999999991,63.29,3,51869.0
98,中国宝安,12,-2686.9300000000003,67.93,3,50435.0
99,拓普集团,13,6782.369999999995,69.63,2,68264.0
85,中曼石油,13,8876.839999999997,53.16,2,47290.0
47,300ETF,13,-233.6800000000003,26.68,3,81910.0
164,5GETF,16,4435.199999999993,96.7,15,79881.5
82,玲珑轮胎,17,352.26000000000204,95.74000000000001,4,61841.5
130,千方科技,17,-491.15000000000146,205.15,10,81219.0
35,盛达资源,18,3778.699999999997,196.29999999999998,12,75699.0
71,证券ETF,19,1000.7499999999927,54.65,6,84712.8
95,安信信托,23,-6616.339999999982,136.34,6,64843.0
90,长安汽车,28,4022.880000000001,74.12,3,58363.0
62,天齐锂业,51,-251.0500000000102,1012.0500000000001,47,89923.0
